NORBIT,L1_HIT_ID,L1_TIME,L1_TILE,L2_HIT_ID,L2_TIME,L2_TILE,L3_HIT_ID,L3_TIME,L3_TILE,L4_HIT_ID,L4_TIME,L4_TILE
1965865734,,,,1356.0,594812564.1666666,0.0,1357.0,594812679.1666666,0.0,1359.0,594812720.8333334,0.0
1965873593,,,,2915.0,1294987250.0,13.0,2912.0,1294987066.6666667,13.0,2910.0,1294986961.6666667,14.0
1965886327,5525.0,2429583405.0,4.0,5522.0,2429583135.0,5.0,5524.0,2429583143.3333335,5.0,,,
1965886687,5596.0,2461741792.5,15.0,5599.0,2461741993.3333335,15.0,5600.0,2461742115.8333335,14.0,,,
1965889487,,,,6159.0,2711150790.8333335,5.0,6161.0,2711150825.8333335,4.0,6163.0,2711151081.6666665,4.0
1965896094,,,,7547.0,3299849954.1666665,7.0,7544.0,3299849836.6666665,7.0,7545.0,3299849852.5,8.0
1965898323,,,,8018.0,3498469521.6666665,12.0,8015.0,3498469387.5,11.0,8020.0,3498469486.6666665,11.0
1965899782,8291.0,3628435306.6666665,10.0,8294.0,3628435295.8333335,10.0,8296.0,3628435531.6666665,9.0,,,
1965902313,8784.0,3853990755.0,6.0,,,,8783.0,3853990760.8333335,7.0,8786.0,3853990720.8333335,8.0
1965903666,,,,9060.0,3974539427.5,7.0,9063.0,3974539743.3333335,7.0,9058.0,3974539542.5,7.0
1965904811,9293.0,4076518259.1666665,7.0,9294.0,4076518385.0,8.0,9297.0,4076518450.0,8.0,,,
1965908015,9926.0,4362006129.166667,10.0,9924.0,4362006014.166667,11.0,9921.0,4362005911.666667,10.0,,,
1965908622,,,,10018.0,4416074847.5,12.0,10015.0,4416074531.666667,12.0,10016.0,4416074787.5,13.0
1965909726,,,,10225.0,4514482466.666667,6.0,10224.0,4514482406.666667,5.0,10221.0,4514482269.166667,5.0
1965915322,,,,11293.0,5013049997.5,7.0,11294.0,5013049955.833333,7.0,11297.0,5013049954.166667,8.0
1965917420,11731.0,5199965372.5,8.0,11729.0,5199965289.166667,8.0,,,,11728.0,5199965306.666667,9.0
1965918041,11851.0,5255296333.333333,0.0,,,,11852.0,5255296320.0,1.0,11849.0,5255296210.0,1.0
1965919524,12138.0,5387498035.0,1.0,,,,12136.0,5387497859.166667,1.0,12141.0,5387498102.5,1.0
1965921752,12619.0,5585946526.666667,14.0,,,,12617.0,5585946418.333333,13.0,12616.0,5585946341.666667,14.0
1965923780,,,,12982.0,5766699787.5,4.0,12977.0,5766699486.666667,4.0,12979.0,5766699453.333333,5.0
1965924976,13192.0,5873238870.0,7.0,,,,13197.0,5873239103.333333,8.0,13193.0,5873238820.833333,9.0
1965930227,,,,14210.0,6341128609.166667,9.0,14203.0,6341128203.333333,9.0,14209.0,6341128615.833333,10.0
1965930280,,,,14224.0,6345803132.5,8.0,14219.0,6345802841.666667,8.0,14221.0,6345802840.0,9.0
1965931230,14382.0,6430444168.333333,11.0,14384.0,6430444192.5,11.0,14385.0,6430444470.833333,10.0,,,
1965931291,,,,14408.0,6435938485.833333,12.0,14405.0,6435938316.666667,11.0,14409.0,6435938400.0,11.0
1965937857,15711.0,7020961761.666667,3.0,,,,15713.0,7020961804.166667,2.0,15708.0,7020961480.833333,3.0
1965946014,17282.0,7747738325.833333,9.0,17286.0,7747738643.333333,9.0,,,,17284.0,7747738470.833333,9.0
1965955509,19149.0,8593705829.166666,4.0,19148.0,8593705806.666666,5.0,19152.0,8593706046.666666,5.0,,,
1965957754,19650.0,8793803875.833334,7.0,19648.0,8793803637.5,7.0,19652.0,8793803840.833334,6.0,,,
